,title,category,composer,year,epoch,country,stars
147,"All-Night Vigil (Vespers), Op. 37",Chant,Sergei Rachmaninoff,1915,Late Romantic,Russia,208
148,"Danse macabre, Op. 40",Symphonic Poem,Camille Saint-Saëns,1874,Romantic,France,103
149,Quatuor pour la fin du temps (Quartet for the End of Time),Piano Quartet,Olivier Messiaen,1941,20th Century,France,84
150,"Coronation Anthems, HWV 258-261",Choral orchestral,George Frideric Handel,1727,Baroque,Germany,81
151,"14 Romances, Op. 34",Lieder / Song,Sergei Rachmaninoff,1915,Late Romantic,Russia,80
152,"String Quintet No. 1 in F Major, Op. 88",String Quintet,Johannes Brahms,1882,Romantic,Germany,78
153,Appalachian Spring,Unsorted Orchestral,Aaron Copland,1944,20th Century,United States,75
154,"Fantaisie-Impromptu, Op. posth. 66",Piano Sonata,Frédéric Chopin,1834,Romantic,Poland,75
155,"String Quartet No. 4, Sz. 91",String Quartet,Béla Bartók,1928,20th Century,Hungary,72
156,Messe de Nostre Dame,Mass / Requiem,Guillaume de Machaut,-1,Medieval-Renaissance,France,72
157,"L'Orfeo, SV 318",Opera,Claudio Monteverdi,1607,Medieval-Renaissance,Italy,70
158,"Piano Sonata No. 8 in C Minor (Sonata Pathétique), Op. 13",Piano Sonata,Ludwig van Beethoven,1798,Early Romantic,Germany,70
159,"Ballade No. 1, Op. 23",Piano Sonata,Frédéric Chopin,1831,Romantic,Poland,68
160,"Liebesträume (Dreams of Love), S. 541",Piano Sonata,Franz Liszt,1850,Romantic,Hungary,66
161,"String Quartet in A Minor, Op. 51 No. 2",String Quartet,Johannes Brahms,1869,Romantic,Germany,65
162,Canticum Canticorum,Chant,Giovanni Pierluigi da Palestrina,1584,Medieval-Renaissance,Italy,64
163,"Wachet auf, ruft uns die Stimme, BWV 140",Choral orchestral,Johann Sebastian Bach,1731,Baroque,Germany,61
164,Gnossiennes,Piano Sonata,Erik Satie,1897,Late Romantic,France,61
165,"Pelléas et Mélisande, L. 88",Opera,Claude Debussy,1898,Late Romantic,France,58
166,"Piano Concerto No. 3 in D Minor, Op. 30",Piano Concerto,Sergei Rachmaninoff,1909,Late Romantic,Russia,55
167,"Deux arabesques, L. 66",Piano Sonata,Claude Debussy,1891,Late Romantic,France,55
168,"Suite bergamasque, L. 75",Piano Sonata,Claude Debussy,1905,Late Romantic,France,54
169,"Sextet No. 1 in B-flat Major, Op. 18",Sextet,Johannes Brahms,1860,Romantic,Germany,51
170,"24 Caprices for Solo Violin, Op. 1",String solo,Niccolò Paganini,1817,Early Romantic,Italy,51
171,"Rêverie, L. 68",Piano Sonata,Claude Debussy,1890,Late Romantic,France,46
172,Wozzeck,Opera,Alban Berg,1922,20th Century,Austria,44
